Date (yyyy-mm-dd),File number + channel,Prep number,Condition,MN expressing EKI,Segment,Burst start A,Burst end A,Burst start B,Burst end B,Burst start C,Burst end C,Burst start D,Burst end D,Burst start E,Burst end E,Burst start F,Burst end F,Burst start G,Burst end G,Burst start H,Burst end H,Burst start I,Burst end I,Burst start J,Burst end J,Burst start K,Burst end K,Burst start L,Burst end L,Burst start M,Burst end M,Burst start N,Burst end N,Burst start O,Burst end O,Burst start P,Burst end P,Burst start Q,Burst end Q,Burst start R,Burst end R,Burst start S,Burst end S,Burst start T,Burst end T,Burst start U,Burst end U,Burst start V,Burst end V,Burst start W,Burst end W,Burst start X,Burst end X
2009-06-18,09618004_Ch2,1,EKI,MNISN-Is,4,287.85608,293.78134,296.46622,303.46542,305.94662,312.61253,317.20459,324.59264,328.36999,335.8321,339.47983,347.29376,351.45995,358.45915,362.44018,368.80983,372.38349,379.53083,383.08597,390.4555,393.95511,402.36156,405.97226,418.26715,422.69258,430.21023,434.98747,443.20875,448.17115,455.96656,460.26237,471.81661,,,,,,,,,,,,,,,,
2009-06-18,09618004_Ch1,1,wildtype,none,5,287.78202,292.52222,296.50325,302.63218,305.90958,311.77928,316.38987,323.57424,328.40702,334.9248,339.1095,346.33091,351.2933,357.36669,362.44018,367.95807,372.36498,378.69759,382.88229,389.47414,393.69587,401.50981,405.76858,417.65611,422.58147,429.09925,434.54308,442.31997,447.76379,454.87409,460.16978,470.61304,,,,,,,,,,,,,,,,
2009-06-18,09618005_Ch2,2,EKI,MNISN-Is,4,23.13,28.15,30.51,34.19,36.1,39.87,42.38,47.530237,50.187317,54.033586,56.374798,61.37309,63.881522,69.938936,72.78183,80.139916,83.094294,89.597643,92.663515,98.200654,101.32227,106.02327,108.51312,113.77154,116.93032,122.05868,125.55191,131.25628,133.41168,137.82074,141.30403,144.99715,149.55061,153.95718,157.81818,163.73557,169.65296,175.00379,181.15201,186.77564,190.95139,195.30899,199.97437,208.09505,,,,
2009-06-18,09618005_Ch1,2,wildtype,none,3,23.522697,28.327949,31.160745,34.413222,36.553552,40.309632,43.268326,47.863748,50.549657,54.452623,56.970659,61.817887,64.272978,70.232342,73.358911,80.388436,83.640902,89.831085,93.545199,99.00095,102.04359,106.28228,109.51377,114.0882,117.48757,122.69151,126.19579,131.63056,133.85482,138.72304,141.91255,146.00437,150.03323,155.36309,158.65752,165.70803,170.74411,176.72446,182.66284,188.53826,193.57434,197.12058,201.46421,210.00456,,,,
2009-07-06,09706000_Ch2,3,EKI,MNISN-Is,5,163.67961,172.11023,172.51383,181.75163,182.95051,190.41289,191.44405,199.20493,200.37177,208.07839,209.43518,217.82019,219.24781,228.66335,230.00843,239.46881,240.85873,250.31911,252.42641,262.46966,264.66662,276.14462,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-06,09706000_Ch1,3,wildtype,none,4,164.89039,171.79632,173.14163,181.66194,183.71031,190.00585,192.28526,199.04211,201.07732,208.32261,210.30353,217.92873,220.2724,228.20973,231.03489,239.10676,241.75255,250.36254,253.18769,262.29097,265.56456,275.11628,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-07,09707006_Ch2,4,wildtype,none,4,81.376376,109.89962,112.72288,132.90091,136.22239,160.96745,164.37198,184.63303,187.46931,205.04129,209.02776,229.32731,232.63189,246.06003,249.04988,262.84519,267.2513,282.46285,286.60669,304.44093,309.1093,320.85892,324.63558,337.32936,341.57811,356.94702,360.09424,377.29904,382.12477,397.33633,402.42433,412.18071,416.11473,426.97264,431.01157,442.971,446.69521,458.33991,462.64111,471.45333,,,,,,,,
2009-07-07,09707006_Ch1,4,EKI,MN1-Ib,3,81.210304,110.02418,112.93048,133.60672,136.51302,161.75631,164.82867,185.33884,187.73158,205.82809,209.97192,229.74694,232.89416,246.3223,250.36123,263.00256,267.46111,283.98401,287.65577,305.07037,309.52894,321.22609,326.36655,338.74561,343.09926,357.10438,362.03503,377.77112,383.2263,398.80503,403.68322,413.12487,417.89816,428.33643,432.89989,444.33479,449.78997,459.65125,469.98462,472.76466,,,,,,,,
2009-07-21,09721000_Ch2,5,EKI,MN1-Ib,4,232.16668,236.87956,239.73818,244.72146,248.15953,252.37021,257.2376,261.25512,264.42279,270.29456,273.65537,279.52714,290.34357,294.5156,300.88957,304.98436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-21,09721000_Ch1,5,wildtype,none,5,231.85764,235.99106,239.35187,244.48968,247.46419,252.60198,256.11733,260.21211,263.88197,269.75373,272.88277,278.87044,289.91863,293.82027,299.96245,304.86847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
